"danish","swedish","pos","example_da","example_sv","note","deck","cefr","tags","accepted","audio","audio_example","rank"
"i morges","i morse","adv","","","","praksis-adverbier-tid-b2","b2","","","","",""
"alene","ensam (allena)","adv","Hun bor alene i en lille lejlighed.","Hon bor ensam i en liten lägenhet.","","praksis-adverbier-maade-b1","b1","","","","","282"
"lidt","lite","adv","Vent lidt, jeg er der om fem minutter.","Vänta lite, jag är där om fem minuter.","","praksis-adverbier-grad-b1","b1","","","","","101"
"herude","härute","adv","","","","praksis-adverbier-sted-b1","b1","","","","","1439"
"indenfor","inom / innanför","other","Det regner, så vi bliver indenfor i dag.","Det regnar, så vi håller oss inomhus idag.","","praksis-forholdsord-b1","b1","","","","","789"
"hvorimod","medan (varemot)","other","","","","praksis-bindeord-diskurs-b2","b2","","mens","","","20531"
"ethvert","varje","other","","","","praksis-spoergeord-pron-b2","b2","","","","","3946"
"måske","kanske","adv","","","","praksis-smaaord-fyldord-b1","b1","","","audio/da-17abb8bed5f760.mp3","","89"
"gøremål","sysslor","noun","","","","praksis-hverdag-rutiner-b2","b2","","","","","25428"
"knibe øjnene sammen","kisa","phrase","","","","praksis-kropssprog-b2","b2","","","","",""
"hvæse","väsa","verb","","","","praksis-lyde-stoej-b2","b2","","","","",""
"krumbøjet","krokig (krökt)","adj","","","","praksis-positioner-b2","b2","","","","",""
"arvelighed","ärftlighet","noun","","","","praksis-videnskab-b2","b2","","","","",""
"erstatning","skadestånd","noun","","","","praksis-lov-b2","b2","","","","","6587"
"indføre","införa","verb","","","","praksis-politik-b2","b2","","","","","13905"
"krampe","kramp","noun","","","","praksis-sundhed-b2","b2","","","","","11505"
"præcisere","precisera","verb","","","","praksis-kommunikation-b2","b2","","","","","28479"
"kuldgentagelse","omgång (gå om klass)","noun","","","","praksis-uddannelse-b2","b2","","","","",""
"udvandring","utvandring","noun","","","","praksis-historie-b2","b2","","","","","49322"
"skum","skum (löddra)","noun","","","","praksis-foedevarer-b2","b2","","","","","12779"
"møblere","möblera","verb","","","","praksis-bolig-b2","b2","","","","",""
"brændstof","bränsle","noun","","","","praksis-miljoe-b1","b1","","brændsel","","","4176"
"løbehjul","sparkcykel","noun","","","","praksis-fritid-b2","b2","","","","",""
"vinkel","vinkelhake","noun","","","","praksis-snedker-toemrer-b2","b2","","","","","4713"
"hulmur","hålmur (mur med luftspalt)","noun","","","","praksis-murer-b2","b2","","","","",""
"stophane","avstängningskran","noun","","","","praksis-vvs-blik-b2","b2","","","","",""
"forsyning","strömförsörjning/matning","noun","","","","praksis-elektriker-b2","b2","","","","","24685"
"halvmat","halvmatt","adj","","","","praksis-maler-dekoration-b2","b2","","","","",""
"styretøj","styrning (styrinrättning)","noun","","","","praksis-mekaniker-b2","b2","","","","",""
"gløde","glöda","verb","","","","praksis-smed-metal-b2","b2","","","","","48700"
"stingplade","stygnplåt","noun","","","","praksis-syning-skraedder-b2","b2","","","","",""
"blegning","blekning","noun","","","","praksis-frisoer-b2","b2","","","","",""
"bunddække","marktäckare","noun","","","","praksis-gartner-detalje-b2","b2","","","","",""
"lagkage","tårta (med flera bottnar)","noun","","","","praksis-bager-konditor-b1","b1","","","","","21161"
"sylte","sylta (av fläsk)","noun","","","","praksis-slagter-b2","b2","falsk-ven","","","","48688"
"red","redskap (fiskeredskap)","noun","","","","praksis-fisker-b2","b2","","redskab","","","1152"
"tøjr","tjuder","noun","","","","praksis-landmand-detalje-b2","b2","","","","",""
"dild","dill","noun","","","","praksis-krydderier-b1","b1","","","","",""
"tøndersvamp","fnöskticka","noun","","","","praksis-svampe-b2","b2","","","","",""
"chiafrø","chiafrö","noun","","","","praksis-noedder-froe-b2","b2","","","","",""
"gedemælk","getmjölk","noun","","","","praksis-mejeri-detalje-b1","b1","","","","",""
"makrel i tomat","makrill i tomatsås","phrase","","","","praksis-paalaeg-b1","b1","","","","",""
"flødekage","gräddtårta/bakelse","noun","","","","praksis-kager-desserter-b2","b2","","","","",""
"smage til","smaka av (krydda till rätt smak)","verb","","","","praksis-supper-gryder-b2","b2","","","","",""
"bearnaisesovs","bearnaisesås","noun","","","","praksis-saucer-dressing-b2","b2","","","","",""
"torskerogn","torskrom (på burk)","noun","","","","praksis-konserves-holdbar-b2","b2","","","","",""
"bævreasp","darrasp","noun","","","","praksis-traeer-arter-b2","b2","","","","",""
"kornblomst","blåklint","noun","","","","praksis-blomster-arter-b2","b2","","","","",""
"fjæsing","fjärsing","noun","","","","praksis-fisk-arter-b2","b2","","","","",""
"kakerlak","kackerlacka","noun","","","","praksis-insekter-arter-b2","b2","","","","","13892"
"strandskade","strandskata","noun","","","","praksis-fugle-arter-b2","b2","","","","",""
"varmegrad","plusgrad","noun","","","","praksis-vejrfaenomener-b2","b2","","","","",""
"forvitre","vittra","verb","","","","praksis-geologi-mineraler-b2","b2","","","","",""
"farvand","farvatten","noun","","","","praksis-vand-hav-b2","b2","","","","","17946"
"vægtløshed","tyngdlöshet","noun","","","","praksis-astronomi-himmel-b2","b2","","","","","47052"
"forstuve","stuka","verb","","","","praksis-skelet-knogler-b2","b2","","","","",""
"ømme","ömma/värka","verb","","","","praksis-muskler-led-b2","b2","","","","","12654"
"influenza","influensa","noun","","","","praksis-sygdomme-konkrete-b1","b1","","","","","7363"
"dropstativ","droppställning","noun","","","","praksis-hospital-afdeling-b2","b2","","","","",""
"bro","brygga (tandbro)","noun","","","","praksis-tandlaege-b2","b2","","","","","3386"
"ensomhed","ensamhet","noun","","","","praksis-mental-sundhed-b1","b1","","","","","7804"
"termin","beräknad förlossningsdag","noun","","","","praksis-graviditet-foedsel-b2","b2","","","","","25136"
"alarmcentral","larmcentral","noun","","","","praksis-foerstehjaelp-b2","b2","","","","",""
"neglesaks","nagelsax","noun","","","","praksis-badevaerelse-b2","b2","","","","",""
"uldtæppe","ullfilt","noun","","","","praksis-sovevaerelse-b2","b2","","","","",""
"vandingskande","vattenkanna","noun","","","","praksis-have-redskaber-b2","b2","","vandkande","","",""
"oplyse","belysa (lysa upp)","verb","","","","praksis-belysning-b1","b1","","","","","8136"
"underlagsgulv","undergolv","noun","","","","praksis-gulv-vaeg-loft-b2","b2","","","","",""
"dørtelefon","porttelefon","noun","","","","praksis-vinduer-doere-b2","b2","","","","",""
"tætningsliste","tätningslist","noun","","","","praksis-opvarmning-b2","b2","","","","",""
"termokande","termoskanna","noun","","","","praksis-opbevaring-b1","b1","","","","","45429"
"motorhjelm","motorhuv","noun","","","","praksis-bilens-dele-b2","b2","","kølerhjelm","","","43010"
"luftpumpe","cykelpump","noun","","","","praksis-cykel-dele-b2","b2","","","","",""
"halsudskæring","halsringning","noun","","","","praksis-toej-detaljer-b2","b2","","","","",""
"spinde","spinna (garn)","verb","","","","praksis-stof-tekstiler-b2","b2","","","","","24317"
"manchetknap","manschettknapp","noun","","","","praksis-smykker-ure-b2","b2","","","","",""
"hårgele","hårgelé","noun","","","","praksis-makeup-pleje-b2","b2","","","","",""
"pusle","byta blöja (sköta om)","verb","","","","praksis-baby-udstyr-b2","b2","","","","",""
"tape","tejp","noun","","","","praksis-kontorartikler-b1","b1","","","","","7542"
"stegepande","stekpanna","noun","","","","praksis-koekkenmaskiner-b1","b1","","pande","","","32681"
"snemand","snögubbe","noun","","","","praksis-vintersport-b1","b1","","","","","16376"
"livredder","livräddare/badvakt","noun","","","","praksis-vandsport-b2","b2","","","","","17900"
"udsigtspunkt","utsiktspunkt","noun","","","","praksis-friluftsliv-b2","b2","","","","",""
"jeton","spelmark","noun","","","","praksis-braetspil-kort-b2","b2","","","","",""
"korssting","korsstygn","noun","","","","praksis-haandarbejde-b2","b2","","","","",""
"pibe","pipa","verb","","","","praksis-lyd-verber-b1","b1","","","","","10833"
"famle","famla, treva","verb","","","","praksis-hand-handlinger-b2","b2","","","","",""
"sige hen i vejret","prata i vädret, snacka strunt","phrase","","","","praksis-tale-maader-b2","b2","","","","",""
"smågræde","smågråta","verb","","","","praksis-grine-graede-b2","b2","","","","",""
"trave","trava, lufsa","verb","","","","praksis-bevaegelse-praecis-b2","b2","","","","",""
"ligeglad","likgiltig (struntsam)","adj","Han er helt ligeglad med, hvad andre synes.","Han struntar fullständigt i vad andra tycker.","","praksis-karaktertraek-neg-b1","b1","","","","","572"
"samvittighedsfuld","samvetsgrann","adj","","","","praksis-karaktertraek-pos-b2","b2","","","","",""
"oprømt","upprymd (på gott humör)","adj","","","","praksis-humoer-nuancer-b2","b2","","opstemt","","",""
"overvejelse","övervägande","noun","","","","praksis-tankeprocesser-b2","b2","","","","","18214"
"stræbe","sträva","verb","","","","praksis-vilje-motivation-b1","b1","","","","","18563"
"svig","svek (bedrägeri)","noun","","","","praksis-moral-etik-b2","b2","","","","","22112"
"kiv","kiv, gräl","noun","","","","praksis-konflikt-forsoning-b2","b2","","","","",""
"fortrolig","förtrolig (förtrogen)","adj","","","","praksis-tillid-svig-b2","b2","","","","","10131"
"afvejning","avvägning","noun","","","","praksis-beslutning-plan-b2","b2","","","","",""
"knude","knut, knepig knut (problem)","noun","","","","praksis-problem-loesning-b2","b2","","","","","10956"
"opføre sig","uppföra sig","verb","","","","praksis-social-adfaerd-b1","b1","","","","",""
"vaske gulv","skura golv","phrase","","","","praksis-rengoeringsmidler-b1","b1","","","","",""
"rawlplug","plugg (väggplugg)","noun","","","","praksis-vaerktoejskasse-b2","b2","","","","",""
"gavepapir","presentpapper","noun","","","","praksis-emballage-b1","b1","","","","",""
"takket","taggig; tandad","adj","","","","praksis-former-moenstre-b2","b2","","","","","1938"
"brøkdel","bråkdel","noun","","","","praksis-mængder-portioner-b2","b2","","","","","17014"
"gak","galen, knäpp","adj","","","","praksis-slang-talesprog-b2","b2","","","","","17056"
"snuble","snubbla","verb","","","","praksis-verber-bevaegelse-b1","b1","","","","","26491"
"klage","klaga","verb","","","","praksis-verber-kommunikation-b1","b1","","","","","4486"
"mindes","minnas","verb","","","","praksis-verber-taenkning-b2","b2","","erindre","","","3965"
"trøste","trösta","verb","","","","praksis-verber-foelelser-b1","b1","","","","","7434"
"spejde","spana","verb","","","","praksis-verber-sansning-b2","b2","","","","","40018"
"skære","skära","verb","","","","praksis-verber-haandtering-b1","b1","","","","","1826"
"frembringe","frambringa (framställa)","verb","","","","praksis-verber-forandring-b2","b2","","","","","22946"
"aflevere","lämna in (avlämna)","verb","","","","praksis-verber-arbejde-b1","b1","","indlevere","","","2596"
"rydde af bordet","duka av","verb","","","","praksis-verber-husarbejde-b2","b2","","","","",""
"sylte","sylta (lägga in)","verb","","","","praksis-verber-madlavning-b2","b2","","","","","48688"
"krumme","kröka (sig)","verb","","","","praksis-verber-krop-b2","b2","","","","","11644"
"bande","svära","verb","","","","praksis-verber-social-b2","b2","","","","","2242"
"forhåne","håna, smäda","verb","","","","praksis-verber-konflikt-b2","b2","","","","",""
"vedvare","vara, pågå","verb","","","","praksis-verber-tid-b2","b2","","","","",""
"bevilge","bevilja","verb","","","","praksis-verber-penge-b2","b2","","","","",""
"dumpe","bli underkänd (kuggas)","verb","","","","praksis-verber-laering-b2","b2","","","","","10019"
"undvige","väja (undvika)","verb","","","","praksis-verber-rejse-b2","b2","","","","","17496"
"hagle","hagla","verb","","","","praksis-verber-natur-b2","b2","","","","",""
"drikke","dricka","verb","Vil du have noget at drikke til maden?","Vill du ha något att dricka till maten?","","praksis-verber-frekvente-b1","b1","","","","","711"
"avle","avla (alstra/föda upp)","verb","","","","praksis-verber-abstrakt-b2","b2","","","","","20107"
"svejse","svetsa","verb","","","","praksis-verber-byggeri-b2","b2","","","","","33570"
"knæle","knäböja","verb","","","","praksis-verber-bevaegelse2-b2","b2","","","","","14170"
"egoistisk","egoistisk (självisk)","adj","","","","praksis-adjektiver-personlighed-b2","b2","","","","","4703"
"glat","slät (rak/hal)","adj","","","","praksis-adjektiver-udseende-b1","b1","","","","","5159"
"taknemmelig","tacksam","adj","","","","praksis-adjektiver-foelelser-b1","b1","","","","","2896"
"tyk","tjock","adj","","","","praksis-adjektiver-stoerrelse-b1","b1","","","","","3850"
"ondt","ont (illa, dåligt)","adj","Det gør ondt, når jeg løfter armen.","Det gör ont när jag lyfter armen.","","praksis-adjektiver-kvalitet-b1","b1","","","","","391"
"slud","snöblandat regn","noun","","","","praksis-adjektiver-temperatur-b2","b2","","","","",""
"plettet","fläckig","adj","","","","praksis-adjektiver-farver-b2","b2","","","","","18811"
"fnuget","luddig","adj","","","","praksis-adjektiver-form-b2","b2","","","","",""
"jævnlig","regelbunden (ofta)","adj","","","","praksis-adjektiver-tid-b2","b2","","","","",""
"møjsommelig","mödosam","adj","","","","praksis-adjektiver-svaerhed-b2","b2","","","","",""
"brat","brant (tvär)","adj","","","","praksis-adjektiver-fart-b2","b2","","","","","18544"
"vandet","vattnig (urvattnad)","adj","Suppen smager lidt vandet i dag.","Soppan smakar lite vattnigt idag.","","praksis-adjektiver-smag-b1","b1","","","","","892"
"smadret","krossad, sönderslagen","adj","","","","praksis-adjektiver-tilstand-b2","b2","","","","","3125"
"hovmodig","högmodig","adj","","","","praksis-adjektiver-social-b2","b2","","","","",""
"pølse","korv","noun","","","","praksis-mad-grund-b1","b1","","","","","6070"
"rosenkål","brysselkål","noun","","","","praksis-mad-frugt-groent-b2","b2","","","","","28664"
"laks","lax","noun","","","","praksis-mad-koed-fisk-b1","b1","","","","","10398"
"surdej","surdeg","noun","","","","praksis-mad-bagvaerk-b2","b2","","","","",""
"skummetmælk","skummjölk (lättmjölk)","noun","","","","praksis-drikke-b2","b2","","","","","40629"
"låg","lock","noun","","","","praksis-koekken-redskaber-b1","b1","","","","","12396"
"tag","tak (yttertak)","noun","Vi skal have et nyt tag på huset.","Vi ska lägga nytt tak på huset.","","praksis-hus-rum-b1","b1","falsk-ven","","","","1520"
"sengeramme","sängram","noun","","","","praksis-moebler-b2","b2","","","","",""
"ledning","sladd (kabel)","noun","","","","praksis-husholdning-ting-b1","b1","","","","","10233"
"moppe","mopp","noun","","","","praksis-rengoering-b1","b1","","","","","17583"
"trusse","trosa","noun","","","","praksis-toej-b1","b1","","","","",""
"negl","nagel","noun","","","","praksis-krop-ydre-b1","b1","","","","","8662"
"fordøjelse","matsmältning","noun","","","","praksis-krop-indre-b2","b2","","","","","40635"
"skade","skada","noun","Han fik en skade i knæet til fodbold.","Han fick en skada i knät på fotbollen.","","praksis-sundhed-sygdom-b1","b1","","","","","685"
"tante","faster/moster","noun","","","","praksis-familie-b1","b1","","","","","1568"
"flytte sammen","flytta ihop","verb","","","","praksis-relationer-b1","b1","","","","",""
"rædsel","fasa (skräck)","noun","","","","praksis-foelelser-navne-b1","b1","","gru","","","8683"
"venligsindethed","vänligsinthet","noun","","","","praksis-personlighed-navne-b2","b2","","","","",""
"kvittering","kvitto","noun","","","","praksis-arbejde-kontor-b1","b1","","bon","audio/da-09282105362a46.mp3","","8865"
"chauffør","chaufför","noun","","","","praksis-erhverv-jobs-b1","b1","","","","","3548"
"spørgsmål","fråga","noun","Må jeg stille dig et hurtigt spørgsmål?","Får jag ställa en snabb fråga?","","praksis-skole-uddannelse-b1","b1","","","","","355"
"jura","juridik","noun","","","","praksis-universitet-fag-b2","b2","","","","","6789"
"kurs","kurs (växelkurs)","noun","","","","praksis-penge-oekonomi-b2","b2","","","","","2492"
"prisstigning","prishöjning","noun","","","","praksis-bank-finans-b2","b2","","","","",""
"hylde","hylla","noun","","","","praksis-indkoeb-butik-b1","b1","","","","","6816"
"fartgrænse","hastighetsgräns","noun","","","","praksis-transport-koeretoejer-b2","b2","","hastighedsgrænse","","",""
"vejnet","vägnät","noun","","","","praksis-trafik-vej-b2","b2","","","","",""
"kort","karta","noun","Har du et kort over byen, jeg kan låne?","Har du en karta över stan som jag kan låna?","","praksis-rejse-turisme-b1","b1","falsk-ven","","","","533"
"danse","dansa","verb","Vil du danse med mig i aften?","Vill du dansa med mig ikväll?","","praksis-ferie-fritid-b1","b1","","","","","1069"
"mose","mosse (kärr)","noun","","","","praksis-natur-landskab-b2","b2","","","","","14514"
"dug","dagg","noun","","","","praksis-vejr-klima-b2","b2","falsk-ven","","","","19418"
"æsel","åsna","noun","","","","praksis-dyr-husdyr-b1","b1","","","","","6862"
"firben","ödla","noun","","","","praksis-dyr-vilde-b2","b2","","","","","15455"
"græshoppe","gräshoppa","noun","","","","praksis-fugle-insekter-b2","b2","","","","","27551"
"drivhus","växthus","noun","","","","praksis-planter-have-b2","b2","","","","","24448"
"soveværelse","sovrum","noun","","","","praksis-by-bygninger-b1","b1","","","audio/da-1860e6a085ef56.mp3","","4409"
"perron","perrong","noun","","","","praksis-infrastruktur-b1","b1","","","audio/da-020e4fe2f4826f.mp3","","24522"
"download","nedladdning","noun","","","","praksis-teknologi-computer-b1","b1","","","","","21119"
"afspille","spela upp","verb","","","","praksis-internet-medier-b1","b1","","","","","19679"
"telefonrør","telefonlur","noun","","","","praksis-telefon-komm-b2","b2","","hørerør","","",""
"forlag","förlag","noun","","","","praksis-nyheder-aviser-b2","b2","","","","","19729"
"fremover","framöver","adv","","","","praksis-tid-kalender-b2","b2","","","","","6301"
"angreb","anfall (angrepp)","noun","Hunden gik til angreb på postbuddet.","Hunden gick till anfall mot brevbäraren.","","praksis-sport-motion-b1","b1","","","","","927"
"forstærker","förstärkare","noun","","","","praksis-musik-instrumenter-b2","b2","","","","","13568"
"lærred","duk (canvas)","noun","","","","praksis-kunst-kultur-b2","b2","","","","","15523"
"forløb","förlopp","noun","","","","praksis-film-teater-b2","b2","","","","","15738"
"linje","rad (linje)","noun","","","","praksis-boeger-litteratur-b1","b1","","","","","2525"
"drab","dråp (dödande)","noun","","","","praksis-lov-kriminalitet-b2","b2","","","","","3299"
"indvandrer","invandrare","noun","","","","praksis-politik-samfund-b1","b1","","","","","22872"
"statsborgerskab","medborgarskap","noun","","","","praksis-stat-forvaltning-b2","b2","","medborgerskab","","","21815"
"påvise","påvisa","verb","","","","praksis-videnskab-forskning-b2","b2","","","","","30384"
"gennemsnit","genomsnitt (medelvärde)","noun","","","","praksis-matematik-tal-b1","b1","","","","","12974"
"velsigne","välsigna","verb","","","","praksis-religion-tro-b1","b1","","","","","3026"
"hensyn","hänsyn","noun","","","","praksis-abstrakte-begreber-b2","b2","","","","","2621"
"aske","aska","noun","","","","praksis-materialer-stoffer-b1","b1","","","","","5263"
"bygge","bygga","verb","","","","praksis-vaerktoej-diy-b1","b1","","","","","1553"
"høle","lie","noun","","","","praksis-landbrug-b2","b2","","le","","",""
"snes","tjog (tjugo styck)","noun","","","","praksis-maal-vaegt-b2","b2","","","","","18500"
"rundt","runt","adv","Vi gik en tur rundt om søen.","Vi tog en promenad runt sjön.","","praksis-retninger-placering-b1","b1","","","","","357"
"om lidt","om en stund","phrase","","","","praksis-adverbier-tid-b1","b1","","","","",""
"blødt","mjukt","adv","","","","praksis-adverbier-maade-b2","b2","","","","","6438"
"en smule","en aning, lite grann","phrase","","","","praksis-adverbier-grad-b1","b1","","","","",""
"heroppe","häruppe","adv","","","","praksis-adverbier-sted-b1","b1","","","","","2204"
"overfor","mittemot / gentemot","other","","","","praksis-forholdsord-b2","b2","","","","","1534"
"hvordan","hur","adv","Hvordan kommer jeg hen til stationen?","Hur tar jag mig till stationen?","","praksis-bindeord-diskurs-b1","b1","","Hvordan","","","65"
"hver","varje","other","","","","praksis-spoergeord-pron-b1","b1","","","audio/da-06f15e9ce3ac68.mp3","","248"
"vel nok","nog (mycket väl)","phrase","","","","praksis-smaaord-fyldord-b2","b2","","","","",""
"klø sig","klia sig","verb","","","","praksis-kropssprog-b2","b2","","","","",""
"brøle","böla (vråla)","verb","","","","praksis-lyde-stoej-b2","b2","","","","","27331"
"skød","knä (famn att sitta i)","noun","Katten ligger og sover på mit skød.","Katten ligger och sover i mitt knä.","","praksis-positioner-b2","b2","","","","","724"
"arvemasse","arvsmassa (genom)","noun","","","","praksis-videnskab-b2","b2","","","","",""
"fængsel","fängelse","noun","Han sad i fængsel i næsten fem år.","Han satt i fängelse i nästan fem år.","","praksis-lov-b1","b1","","","","","687"
"ophæve","upphäva","verb","","","","praksis-politik-b2","b2","","","","","13031"
"ømhed","ömhet","noun","","","","praksis-sundhed-b2","b2","","","","","16790"
"tydeliggøre","tydliggöra","verb","","","","praksis-kommunikation-b2","b2","","","","",""
"adgangskrav","behörighetskrav","noun","","","","praksis-uddannelse-b2","b2","","","","",""
"indvandring","invandring","noun","","","","praksis-historie-b2","b2","","","","","46633"
"snittebønne","skärböna","noun","","","","praksis-foedevarer-b2","b2","","","","",""
"istandsættelse","renovering","noun","","","","praksis-bolig-b2","b2","","","","",""
"spild","slöseri (spill)","noun","","","","praksis-miljoe-b1","b1","","","","","2452"
"gåde","gåta","noun","","","","praksis-fritid-b1","b1","","","","","6090"
"høvlebænk","hyvelbänk","noun","","","","praksis-snedker-toemrer-b2","b2","","","","",""
"vandskuring","slamning (tunn putsbehandling)","noun","","","","praksis-murer-b2","b2","","","","",""
"kuglehane","kulventil","noun","","","","praksis-vvs-blik-b2","b2","","","","",""
"installation","elinstallation","noun","","","","praksis-elektriker-b1","b1","","","","","36186"
"fortynder","förtunning/lösningsmedel","noun","","","","praksis-maler-dekoration-b2","b2","","","","","33977"
"affjedring","fjädring","noun","","","","praksis-mekaniker-b2","b2","","","","","34332"
"udglødning","glödgning (mjukgöring)","noun","","","","praksis-smed-metal-b2","b2","","","","",""
"sting","stygn","noun","","","","praksis-syning-skraedder-b1","b1","","","","","8522"
"hovedbund","hårbotten","noun","","","","praksis-frisoer-b2","b2","","","","","44840"
"flerårig","flerårig (perenn)","adj","","","","praksis-gartner-detalje-b2","b2","","","","",""
"kagebund","tårtbotten","noun","","","","praksis-bager-konditor-b2","b2","","","","",""
"indmad","inälvsmat","noun","","","","praksis-slagter-b2","b2","","","","",""
"grej","grejer (fiskegrej)","noun","","","","praksis-fisker-b2","b2","","","","","9541"
"tøjre","tjudra","verb","","","","praksis-landmand-detalje-b2","b2","","","","",""
"estragon","dragon","noun","","","","praksis-krydderier-b2","b2","","esdragon","","",""
"østershat","ostronmussling","noun","","","","praksis-svampe-b2","b2","","","","",""
"agern","ekollon","noun","","","","praksis-noedder-froe-b2","b2","","","","","23052"
"fåremælk","fårmjölk","noun","","","","praksis-mejeri-detalje-b2","b2","","","","",""
"røget ål","rökt ål","phrase","","","","praksis-paalaeg-b2","b2","","","","",""
"gærdej","jäsdeg","noun","","","","praksis-kager-desserter-b2","b2","","","","",""
"skumme","skumma (av soppa)","verb","","","","praksis-supper-gryder-b2","b2","","","","",""
"vildtsovs","viltsås","noun","","","","praksis-saucer-dressing-b2","b2","","","","",""
"henkogt","inkokt/konserverad","adj","","","","praksis-konserves-holdbar-b2","b2","","","","",""
"rødel","klibbal","noun","","","","praksis-traeer-arter-b2","b2","","","","",""
"smørblomst","smörblomma","noun","","","","praksis-blomster-arter-b1","b1","","","","","25303"
"tobis","tobis (kustsill)","noun","","","","praksis-fisk-arter-b2","b2","","","","",""
"gedehams","bålgeting","noun","","","","praksis-insekter-arter-b2","b2","","","","",""
"hjejle","ljungpipare","noun","","","","praksis-fugle-arter-b2","b2","","","","",""
"lavtryk","lågtryck","noun","","","","praksis-vejrfaenomener-b2","b2","","","","",""
"forvitring","vittring","noun","","","","praksis-geologi-mineraler-b2","b2","","","","",""
"indsø","insjö","noun","","","","praksis-vand-hav-b2","b2","","","","",""
"rumfart","rymdfart","noun","","","","praksis-astronomi-himmel-b2","b2","","","","",""
"brække","bryta (av) (t.ex. ett ben)","verb","","","","praksis-skelet-knogler-b1","b1","","","","","5005"
"migræne","migrän","noun","","","","praksis-sygdomme-konkrete-b2","b2","","","","","12849"
"kanyle","kanyl (nål)","noun","","","","praksis-hospital-afdeling-b2","b2","","","","","24718"
"gebis","löständer (gebiss)","noun","","","","praksis-tandlaege-b2","b2","","","","","36246"
"genvinde","återvinna (återfå)","verb","","","","praksis-mental-sundhed-b2","b2","","","","","10696"
"vandafgang","vattenavgång","noun","","","","praksis-graviditet-foedsel-b2","b2","","","","",""
"forblødning","förblödning","noun","","","","praksis-foerstehjaelp-b2","b2","","","","",""
"flise","kakelplatta","noun","","","","praksis-badevaerelse-b2","b2","","","","",""
"sovemaske","sovmask","noun","","","","praksis-sovevaerelse-b2","b2","","","","",""
"jordbor","jordborr","noun","","","","praksis-have-redskaber-b2","b2","","","","",""
"væglampe","vägglampa","noun","","","","praksis-belysning-b1","b1","","","","",""
"støbegulv","gjutet golv","noun","","","","praksis-gulv-vaeg-loft-b2","b2","","","","",""
"smæklås","låskolv/snäpplås","noun","","","","praksis-vinduer-doere-b2","b2","","","","",""
"affugter","avfuktare","noun","","","","praksis-opvarmning-b2","b2","","","","",""
"syltetøjsglas","syltburk","noun","","","","praksis-opbevaring-b2","b2","","","","",""
"forskærm","framskärm","noun","","","","praksis-bilens-dele-b2","b2","","","","",""
"lappegrej","lagningssats","noun","","","","praksis-cykel-dele-b2","b2","","","","",""
"ben","ben (kroppsdel eller byxben)","noun","","","","praksis-toej-detaljer-b1","b1","","","audio/da-00963d0f3496cd.mp3","","490"
"slipsenål","slipsnål","noun","","","","praksis-smykker-ure-b2","b2","","","","",""
"hårvoks","hårvax","noun","","","","praksis-makeup-pleje-b2","b2","","","","",""
"svøbe","linda (svepa in baby)","verb","","","","praksis-baby-udstyr-b2","b2","","","","","28055"
"tegnestiftholder","hållare för häftstift","noun","","","","praksis-kontorartikler-b2","b2","","","","",""
"kasserolle","kastrull","noun","","","","praksis-koekkenmaskiner-b2","b2","","","","",""
"snebold","snöboll","noun","","","","praksis-vintersport-b1","b1","","","","","33304"
"strømsvømning","strömsimning","noun","","","","praksis-vandsport-b2","b2","","","","",""
"primus","friluftskök (spritkök)","noun","","","","praksis-friluftsliv-b2","b2","","","","","29102"
"springer","springare/häst (i schack)","noun","","","","praksis-braetspil-kort-b2","b2","","","","","2317"
"filt","filt (material, ej täcke)","noun","","","","praksis-haandarbejde-b2","b2","falsk-ven","","","",""
"vræle","vråla (skråla)","verb","","","","praksis-lyd-verber-b2","b2","","","","",""
"tvinde","tvinna","verb","","","","praksis-hand-handlinger-b2","b2","","","","",""
"vræle op","gapa, skrika högt","verb","","","","praksis-tale-maader-b2","b2","","","","",""
"hikke","hicka","verb","","","","praksis-grine-graede-b2","b2","","","","","20059"
"forvilde sig","gå vilse, förvilla sig","verb","","","","praksis-bevaegelse-praecis-b2","b2","","","","",""
"opfarende","uppbrusande","adj","","","","praksis-karaktertraek-neg-b2","b2","","","","","42391"
"pligtopfyldende","plikttrogen","adj","","","","praksis-karaktertraek-pos-b2","b2","","","","","28673"
"kåd","uppsluppen (yster)","adj","","","","praksis-humoer-nuancer-b2","b2","falsk-ven","","","","30609"
"formodning","förmodan","noun","","","","praksis-tankeprocesser-b2","b2","","","","","21096"
"stræbsom","strävsam (ambitiös)","adj","","","","praksis-vilje-motivation-b2","b2","","","","",""
"forræderi","förräderi","noun","","","","praksis-moral-etik-b2","b2","","","","","4040"
"fjendskab","fiendskap","noun","","","","praksis-konflikt-forsoning-b2","b2","","","","","28588"
"fortrolighed","förtrolighet","noun","","","","praksis-tillid-svig-b2","b2","","","","","12322"
"udskyde","skjuta upp","verb","","","","praksis-beslutning-plan-b2","b2","","udsætte","","","10979"
"hovedbrud","huvudbry","noun","","","","praksis-problem-loesning-b2","b2","","","","",""
"engangsklud","engångstrasa","noun","","","","praksis-rengoeringsmidler-b2","b2","","","","",""
"koben","kofot (bräckjärn)","noun","","","","praksis-vaerktoejskasse-b2","b2","","","","","24741"
"beholder","behållare","noun","","","","praksis-emballage-b2","b2","","","","","2382"
"spids","spets; spetsig","noun","","","","praksis-former-moenstre-b1","b1","","","","","10012"
"sparsom","sparsam (knapp)","adj","","","","praksis-mængder-portioner-b2","b2","","","","",""
